Date,Open,High,Low,Close,Volume,ticker,change%,avg_20_days_volume,volume%,buyhold_account_value,row_key,account_value,account_cum_max,drawdown,volume_threshold%,pct_threshold%,holding_days,sell_condition,sell_signal,sell_waiting_days,waiting_days_count,actual_sell,holding_days_count,block_identifier,buy_signal,pct_change,max_drawdown,strategy_max_drawdown(%),strategy_cagr%,strategy_calmar
2019-05-08,16.46,16.71,16.28,16.32,92.65,TSLA,-0.9,176.91,-47.63,76.39,339,85.18,118.61,-28.18,20,-2,15,False,False,0,0,False,12,13,False,-0.9,-37.29,-86.36,-18.75,-0.22
2019-05-09,16.13,16.25,15.8,16.13,100.67,TSLA,-1.17,176.65,-43.01,75.49,340,86.18,118.61,-27.35,20,-2,15,False,False,0,0,False,13,13,False,-1.17,-37.29,-86.36,-18.75,-0.22
2019-05-10,15.98,16.13,15.73,15.97,105.12,TSLA,-1.02,174.52,-39.77,74.73,341,87.05,118.61,-26.61,20,-2,15,False,False,0,0,False,14,13,False,-1.02,-37.29,-86.36,-18.75,-0.22
2019-05-13,15.47,15.5,14.97,15.13,162.52,TSLA,-5.22,177.59,-8.49,70.82,342,91.6,118.61,-22.77,20,-2,15,False,False,0,0,False,15,13,True,-5.22,-37.29,-86.36,-18.75,-0.22
2019-05-14,15.29,15.63,15.2,15.49,108.79,TSLA,2.33,175.5,-38.01,72.48,343,91.6,118.61,-22.77,20,-2,15,False,False,0,0,False,0,,False,0.0,-37.29,-86.36,-18.75,-0.22
2019-05-15,15.29,15.5,15.02,15.46,109.44,TSLA,-0.15,175.52,-37.65,72.36,344,91.6,118.61,-22.77,20,-2,15,False,False,0,0,False,0,,False,0.0,-37.29,-86.36,-18.75,-0.22
2019-05-16,15.3,15.4,15.1,15.22,112.25,TSLA,-1.56,177.29,-36.68,71.24,345,91.6,118.61,-22.77,20,-2,15,False,False,0,0,False,0,,False,0.0,-37.29,-86.36,-18.75,-0.22
2019-05-17,14.8,14.82,13.93,14.07,266.8,TSLA,-7.58,186.22,43.27,65.84,346,91.6,118.61,-22.77,20,-2,15,True,True,0,0,True,0,14,False,0.0,-37.29,-86.36,-18.75,-0.22
2019-05-20,13.52,13.73,13.02,13.69,307.89,TSLA,-2.69,192.5,59.94,64.07,347,94.06,118.61,-20.7,20,-2,15,True,False,0,0,False,1,14,False,-2.69,-37.29,-86.36,-18.75,-0.22
2019-05-21,13.18,13.83,13.07,13.67,270.06,TSLA,-0.14,197.8,36.53,63.98,348,94.19,118.61,-20.59,20,-2,15,False,False,0,0,False,2,14,False,-0.14,-37.29,-86.36,-18.75,-0.22
2019-05-22,13.27,13.6,12.79,12.85,280.28,TSLA,-6.02,203.77,37.55,60.13,349,99.86,118.61,-15.81,20,-2,15,True,False,0,0,False,3,14,False,-6.02,-37.29,-86.36,-18.75,-0.22
2019-05-23,12.96,13.3,12.41,13.03,398.21,TSLA,1.43,207.29,92.1,60.99,350,98.43,118.61,-17.01,20,-2,15,False,False,0,0,False,4,14,False,1.43,-37.29,-86.36,-18.75,-0.22
2019-05-24,13.32,13.33,12.58,12.71,212.05,TSLA,-2.49,201.12,5.43,59.47,351,100.88,118.61,-14.95,20,-2,15,False,False,0,0,False,5,14,False,-2.49,-37.29,-86.36,-18.75,-0.22
